Inv #,Client,Date,Pay By,Total,Amt Due,Status
CED-10745,Copper Kettle Bakery LLC,5/19/26,6/18/26,"$4,031.78",-,PD
CED-10746,Emily Costa,11/7/25,12/7/25,"$1,258.46",-,PD
CED-10747,Chris Chen,7/8/26,8/7/26,"$17,683.73",-,PD
CED-10748,Laura Sullivan,10/9/25,11/8/25,"$5,141.44",-,PD
CED-10749,Susan Chen,6/24/26,7/24/26,"$1,492.33",-,PD
CED-10750,Lakeside Veterinary,4/17/26,5/17/26,$487.24,-,PD
CED-10751,Granite Peak Brewing,10/30/25,11/29/25,"$13,260.58",-,PD
CED-10752,Linda Sullivan,7/12/26,8/11/26,"$2,936.94",-,PD
CED-10753,Northgate Church,9/5/26,10/5/26,$817.79,-,PD
CED-10754,Chris Costa,6/25/26,7/25/26,"$2,285.45","$2,285.45",Past due
CED-10755,David Greer,7/6/26,8/5/26,"$3,583.49",-,PD
CED-10756,Pioneer Storage LLC,10/7/25,11/6/25,"$12,757.15",-,PD
CED-10757,Patricia Lindqvist,4/20/26,5/20/26,"$1,188.08",-,PD
CED-10758,Maria Nguyen,11/27/25,12/27/25,"$6,554.52",-,PD
CED-10759,Maria Greer,7/1/26,7/31/26,"$3,079.15","$3,079.15",Past due
CED-10760,Susan Rivera,4/26/26,5/26/26,"$2,552.96",-,PD
CED-10761,David Sullivan,1/18/26,2/17/26,"$5,474.55",-,PD
CED-10762,Linda Malone,12/2/25,1/1/26,"$4,107.65",-,PD
CED-10763,Karen Lindqvist,1/14/26,2/13/26,"$2,865.37",-,PD
CED-10764,Susan Murphy,4/3/26,5/3/26,"$3,155.20",-,PD
CED-10765,Angela Kim,8/27/26,9/26/26,"$1,624.20","$1,624.20",Open
CED-10766,Bayside Dental,10/18/25,11/17/25,"$3,090.38",-,PD
CED-10767,David Sullivan,5/18/26,6/17/26,"$2,343.88",-,PD
CED-10768,Pioneer Storage,11/2/25,12/2/25,"$2,361.17",-,PD
CED-10769,Mark Brooks,2/7/26,3/9/26,"$1,317.66",-,PD
CED-10770,Acme Foods LLC,8/24/26,9/23/26,"$2,467.21","$2,467.21",Open
CED-10771,Pioneer Storage LLC,2/27/26,3/29/26,"$2,584.28",-,PD
CED-10772,Karen Kowalski,6/18/26,7/18/26,"$2,143.94",-,PD
CED-10773,Mark Walsh,3/17/26,4/16/26,"$2,637.35",-,PD
CED-10774,Michael Hansen,5/31/26,6/30/26,"$2,396.15",-,PD
CED-10775,James Greer,11/8/25,12/8/25,"$1,272.91",-,PD
CED-10776,Granite Peak Brewing,8/23/26,9/22/26,"$2,819.71",-,PD
CED-10777,Angela Baptiste,12/29/25,1/28/26,"$4,093.46",-,PD
CED-10778,Granite Peak Brewing,1/24/26,2/23/26,"$7,672.02",-,PD
CED-10779,Michael Kowalski,6/5/26,7/5/26,"$17,753.35",-,PD
CED-10780,David Rivera,2/25/26,3/27/26,$928.46,-,PD
CED-10781,Chris Lindqvist,7/10/26,8/9/26,"$1,687.34","$1,687.34",Past due
CED-10782,Patricia Hansen,4/15/26,5/15/26,"$2,228.43",-,PD
CED-10783,Lakeside Veterinary,5/26/26,6/25/26,"$6,386.81",-,PD
CED-10784,Susan Chen,12/25/25,1/24/26,"$1,911.32",-,PD
CED-10785,Kevin Chen,2/23/26,3/25/26,"$1,734.64",-,PD
CED-10786,Angela Greer,12/5/25,1/4/26,"$3,311.85",-,PD
CED-10787,Angela Costa,6/20/26,7/20/26,"$15,608.82",-,PD
CED-10788,Laura Costa,11/19/25,12/19/25,"$7,362.53",-,PD
CED-10789,Pioneer Storage,11/9/25,12/9/25,"$2,558.72",-,PD
CED-10790,Northgate Church,8/27/26,9/26/26,$762.26,-,PD
