ack_id,so_number,sent_date,sent_to,method,acknowledged_total
ACK-SO-26288,SO-26288,2025-09-17,aclark@keystone-chemical.com,Email PDF,12701.07
ACK-SO-26289,SO-26289,2025-06-13,bschneider@pioneer-paper.com,Email PDF,5447.05
ACK-SO-26290,SO-26290,2026-02-14,aking@pioneer-lumber.com,Email PDF,3056.68
ACK-SO-26291,SO-26291,2026-01-04,tthompson@blue-poultry.com,Email PDF,7039.08
ACK-SO-26292,SO-26292,2026-03-27,lsmith@cardinal-poultry.com,Email PDF,17304.37
ACK-SO-26293,SO-26293,2025-04-06,emartin@susquehanna-waterauthority.com,Email PDF,3740.33
ACK-SO-26294,SO-26294,2025-06-20,slopez@great-automotive.com,Email PDF,7414.8
ACK-SO-26295,SO-26295,2025-08-03,gthompson@iron-conveyor.com,Email PDF,3043.06
ACK-SO-26296,SO-26296,2026-01-27,jwright@rock-plastics.com,Email PDF,3575.51
ACK-SO-26297,SO-26297,2026-02-08,mharris@summit-conveyor.com,Email PDF,16496.02
ACK-SO-26298,SO-26298,2025-05-14,bschneider@pioneer-paper.com,EDI 855,676.02
ACK-SO-26299,SO-26299,2025-05-05,sdelgado@rock-waterauthority.com,Email PDF,3559.61
ACK-SO-26300,SO-26300,2025-08-11,tthompson@blue-poultry.com,EDI 855,1612.96
ACK-SO-26301,SO-26301,2025-04-03,ddelgado@prairie-poultry.com,Email PDF,1827.89
ACK-SO-26302,SO-26302,2025-06-17,dthompson@tricounty-chemical.com,Email PDF,10730.47
ACK-SO-26303,SO-26303,2026-03-29,eking@summit-conveyor.com,Email PDF,598.75
ACK-SO-26304,SO-26304,2025-12-16,cdavis@lehigh-paper.com,Email PDF,13277.18
ACK-SO-26305,SO-26305,2025-05-20,emartin@susquehanna-waterauthority.com,Email PDF,29828.55
ACK-SO-26306,SO-26306,2025-09-20,lthompson@iron-chemical.com,Email PDF,9064.98
ACK-SO-26307,SO-26307,2026-02-02,spatel@midwest-agequipment.com,Email PDF,1296.27
ACK-SO-26308,SO-26308,2026-02-20,smiller@summit-foods.com,Email PDF,19646.64
ACK-SO-26309,SO-26309,2025-11-01,emartin@susquehanna-waterauthority.com,Email PDF,5031.66
ACK-SO-26310,SO-26310,2025-07-11,spatel@midwest-agequipment.com,EDI 855,28942.66
ACK-SO-26311,SO-26311,2025-07-31,lpatel@allegheny-paper.com,Email PDF,11043.61
ACK-SO-26312,SO-26312,2025-06-16,dthompson@tricounty-chemical.com,EDI 855,10301.25
ACK-SO-26313,SO-26313,2026-02-23,eking@summit-conveyor.com,Email PDF,8787.14
ACK-SO-26314,SO-26314,2025-08-14,pwalker@cumberland-materials.com,EDI 855,18393.51
ACK-SO-26315,SO-26315,2025-06-11,grobinson@iron-chemical.com,Email PDF,26805.02
ACK-SO-26316,SO-26316,2025-12-03,gmartin@cardinal-lumber.com,EDI 855,24492.45
ACK-SO-26317,SO-26317,2025-09-27,ddelgado@allegheny-climate.com,Email PDF,13508.48
ACK-SO-26318,SO-26318,2025-04-12,mallen@fox-paper.com,Email PDF,18044.48
ACK-SO-26319,SO-26319,2026-03-07,lpatel@allegheny-paper.com,EDI 855,23502.46
ACK-SO-26320,SO-26320,2025-08-19,hchoi@susquehanna-waterauthority.com,Email PDF,4070.54
ACK-SO-26321,SO-26321,2026-02-02,mallen@fox-paper.com,EDI 855,2462.92
ACK-SO-26322,SO-26322,2025-09-04,pnguyen@prairie-climate.com,EDI 855,5724.38
ACK-SO-26323,SO-26323,2025-07-15,pwalker@cumberland-materials.com,Email PDF,10461.72
ACK-SO-26324,SO-26324,2025-11-17,dthompson@tricounty-chemical.com,EDI 855,16849.81
ACK-SO-26325,SO-26325,2025-06-08,gmartin@cardinal-lumber.com,EDI 855,3043.06
ACK-SO-26326,SO-26326,2025-10-13,cmoore@prairie-poultry.com,Email PDF,707.34
ACK-SO-26327,SO-26327,2025-08-16,smiller@summit-foods.com,Email PDF,3009.6
ACK-SO-26328,SO-26328,2026-02-26,mtaylor@lehigh-paper.com,Email PDF,6831.7
ACK-SO-26329,SO-26329,2025-05-25,jmiller@riverbend-conveyor.com,EDI 855,9922.35
ACK-SO-26330,SO-26330,2026-03-30,bschneider@pioneer-paper.com,Email PDF,1197.21
ACK-SO-26331,SO-26331,2026-03-30,tthompson@blue-poultry.com,EDI 855,28839.22
ACK-SO-26332,SO-26332,2025-09-13,slopez@great-automotive.com,EDI 855,2787.57
ACK-SO-26333,SO-26333,2025-05-10,spatel@midwest-agequipment.com,EDI 855,2085.55
ACK-SO-26334,SO-26334,2025-06-06,ajackson@keystone-chemical.com,EDI 855,9015.87
ACK-SO-26335,SO-26335,2025-05-17,tthompson@blue-poultry.com,Email PDF,9759.45
ACK-SO-26336,SO-26336,2026-03-04,sdelgado@appalachian-lumber.com,EDI 855,2465.75
ACK-SO-26337,SO-26337,2026-01-09,jharris@prairie-materials.com,EDI 855,2213.65
ACK-SO-26338,SO-26338,2025-08-02,ddelgado@allegheny-climate.com,Email PDF,27015.55
ACK-SO-26339,SO-26339,2026-03-16,fallen@great-lumber.com,Email PDF,7631.4
ACK-SO-26340,SO-26340,2025-08-22,lharris@cardinal-conveyor.com,EDI 855,21205.49
ACK-SO-26341,SO-26341,2025-05-09,eanderson@tricounty-poultry.com,Email PDF,15968.36
ACK-SO-26342,SO-26342,2025-06-01,dmartin@riverbend-conveyor.com,EDI 855,5532.05
ACK-SO-26343,SO-26343,2025-11-24,ajackson@keystone-chemical.com,Email PDF,508.87
ACK-SO-26344,SO-26344,2025-11-05,ddelgado@prairie-poultry.com,Email PDF,6188.32
ACK-SO-26345,SO-26345,2025-12-15,ajackson@keystone-chemical.com,Email PDF,24252.59
ACK-SO-26346,SO-26346,2026-03-10,twilson@tricounty-poultry.com,Email PDF,19997.27
ACK-SO-26347,SO-26347,2026-03-30,bschneider@pioneer-paper.com,Email PDF,7509.76
ACK-SO-26348,SO-26348,2025-09-26,skowalski@midwest-climate.com,Email PDF,238.54
ACK-SO-26349,SO-26349,2026-02-20,mallen@fox-paper.com,Email PDF,30810.88
ACK-SO-26350,SO-26350,2026-02-03,smartinez@rock-plastics.com,Email PDF,2424.48
ACK-SO-26351,SO-26351,2025-10-12,jharris@prairie-materials.com,Email PDF,4034.65
ACK-SO-26352,SO-26352,2026-02-27,mtaylor@lehigh-paper.com,Email PDF,1864.34
ACK-SO-26353,SO-26353,2025-05-07,kanderson@fox-paper.com,EDI 855,13819.26
ACK-SO-26354,SO-26354,2025-09-29,bjones@riverbend-poultry.com,Email PDF,34776.34
ACK-SO-26355,SO-26355,2025-04-14,ajackson@keystone-chemical.com,EDI 855,2613.55
ACK-SO-26356,SO-26356,2025-09-26,aking@pioneer-lumber.com,EDI 855,5470.31
ACK-SO-26357,SO-26357,2026-03-19,smiller@cardinal-poultry.com,Email PDF,1855.29
ACK-SO-26358,SO-26358,2025-09-17,fallen@great-lumber.com,Email PDF,12954.39
ACK-SO-26359,SO-26359,2025-04-02,omartin@allegheny-paper.com,Email PDF,9524.52
ACK-SO-26360,SO-26360,2026-03-14,srodriguez@tricounty-poultry.com,EDI 855,12183.84
ACK-SO-26361,SO-26361,2025-05-14,hchoi@susquehanna-waterauthority.com,Email PDF,19822.95
ACK-SO-26362,SO-26362,2025-04-10,jharris@prairie-materials.com,EDI 855,41761.48
ACK-SO-26363,SO-26363,2025-10-04,bwilson@iron-conveyor.com,Email PDF,14200.5
ACK-SO-26364,SO-26364,2026-01-25,lharris@cardinal-conveyor.com,EDI 855,1896.5
ACK-SO-26365,SO-26365,2025-10-31,pwalker@cumberland-materials.com,Email PDF,3381.61
ACK-SO-26366,SO-26366,2026-02-26,mrobinson@summit-foods.com,Email PDF,16699.75
ACK-SO-26367,SO-26367,2025-09-07,bschneider@pioneer-paper.com,Email PDF,155.86
ACK-SO-26368,SO-26368,2025-04-30,tthompson@blue-poultry.com,EDI 855,5560.52
ACK-SO-26369,SO-26369,2026-01-03,cdavis@lehigh-paper.com,Email PDF,5599.87
ACK-SO-26370,SO-26370,2026-03-26,bwilson@iron-conveyor.com,Email PDF,1326.72
ACK-SO-26371,SO-26371,2025-06-23,sdelgado@rock-waterauthority.com,EDI 855,5945.42
ACK-SO-26372,SO-26372,2026-03-25,gmartin@cardinal-lumber.com,Email PDF,25034.48
ACK-SO-26373,SO-26373,2026-01-06,slopez@great-automotive.com,Email PDF,3751.5
ACK-SO-26374,SO-26374,2025-07-02,pwalker@cumberland-materials.com,Email PDF,15353.97
ACK-SO-26375,SO-26375,2025-10-07,tthompson@blue-poultry.com,EDI 855,12391.7
ACK-SO-26376,SO-26376,2026-03-22,lsmith@cardinal-poultry.com,Email PDF,12962.69
ACK-SO-26377,SO-26377,2025-05-03,mjackson@rock-plastics.com,Email PDF,9263.47
ACK-SO-26378,SO-26378,2025-10-26,aclark@keystone-chemical.com,Email PDF,14414.02
ACK-SO-26379,SO-26379,2026-01-27,emartin@susquehanna-waterauthority.com,EDI 855,10165.17
ACK-SO-26380,SO-26380,2025-05-16,lpatel@allegheny-paper.com,Email PDF,14578.6
ACK-SO-26381,SO-26381,2025-07-09,fallen@great-lumber.com,EDI 855,7921.68
ACK-SO-26382,SO-26382,2025-10-22,mchoi@blue-lumber.com,Email PDF,2586.3
ACK-SO-26383,SO-26383,2026-01-25,lthompson@iron-chemical.com,EDI 855,24072.21
ACK-SO-26384,SO-26384,2025-07-25,spatel@midwest-agequipment.com,EDI 855,5042.55
ACK-SO-26385,SO-26385,2026-01-14,cmoore@prairie-poultry.com,Email PDF,10082.3
ACK-SO-26386,SO-26386,2025-12-24,sdelgado@rock-waterauthority.com,Email PDF,7767.71
ACK-SO-26387,SO-26387,2026-02-25,ddelgado@prairie-poultry.com,Email PDF,6334.54
ACK-SO-26388,SO-26388,2025-04-14,bschneider@pioneer-paper.com,Email PDF,485.39
ACK-SO-26389,SO-26389,2025-11-13,omartin@allegheny-paper.com,Email PDF,1221.48
ACK-SO-26390,SO-26390,2026-01-20,jharris@prairie-materials.com,EDI 855,10569.52
ACK-SO-26391,SO-26391,2025-11-09,gmartin@cardinal-lumber.com,Email PDF,18511.39
ACK-SO-26392,SO-26392,2025-11-27,cdavis@lehigh-paper.com,EDI 855,16485.42
ACK-SO-26393,SO-26393,2025-07-06,jharris@prairie-materials.com,EDI 855,25353.73
ACK-SO-26394,SO-26394,2026-03-12,dmartin@riverbend-conveyor.com,EDI 855,11372.13
ACK-SO-26395,SO-26395,2025-10-03,jmiller@riverbend-conveyor.com,Email PDF,15050.41
ACK-SO-26396,SO-26396,2025-10-02,sdelgado@rock-waterauthority.com,Email PDF,3866.32
ACK-SO-26397,SO-26397,2026-01-19,lking@rock-waterauthority.com,Email PDF,14496.86
ACK-SO-26398,SO-26398,2025-09-10,aclark@keystone-chemical.com,EDI 855,6072.78
ACK-SO-26399,SO-26399,2025-06-19,jmoore@appalachian-lumber.com,EDI 855,30485.3
ACK-SO-26400,SO-26400,2025-12-31,aclark@keystone-chemical.com,EDI 855,15683.87
ACK-SO-26401,SO-26401,2026-01-16,aking@pioneer-lumber.com,EDI 855,26915.64
ACK-SO-26402,SO-26402,2026-03-30,spatel@midwest-agequipment.com,Email PDF,392.1
ACK-SO-26403,SO-26403,2025-11-01,lharris@cardinal-conveyor.com,EDI 855,18863.72
ACK-SO-26404,SO-26404,2025-10-05,pwalker@cumberland-materials.com,EDI 855,23967.61
ACK-SO-26405,SO-26405,2025-05-01,jmiller@riverbend-conveyor.com,EDI 855,966.7
ACK-SO-26406,SO-26406,2025-08-28,jharris@prairie-materials.com,EDI 855,2650.1
ACK-SO-26407,SO-26407,2025-10-05,ajackson@keystone-chemical.com,Email PDF,6245.79
ACK-SO-26408,SO-26408,2026-01-30,lthompson@iron-chemical.com,Email PDF,1431.06
ACK-SO-26409,SO-26409,2025-10-18,spatel@midwest-agequipment.com,Email PDF,18467.28
ACK-SO-26410,SO-26410,2025-04-15,mthomas@summit-foods.com,EDI 855,38342.3
ACK-SO-26411,SO-26411,2025-10-16,wobrien@cardinal-conveyor.com,Email PDF,20188.0
ACK-SO-26412,SO-26412,2026-01-04,mtaylor@lehigh-paper.com,Email PDF,1877.01
ACK-SO-26413,SO-26413,2025-11-08,slopez@great-automotive.com,Email PDF,40118.15
ACK-SO-26414,SO-26414,2025-12-30,lking@rock-waterauthority.com,EDI 855,30801.58
ACK-SO-26415,SO-26415,2026-03-04,gthompson@iron-conveyor.com,Email PDF,2787.57
ACK-SO-26416,SO-26416,2026-02-23,smiller@summit-foods.com,EDI 855,7134.51
ACK-SO-26417,SO-26417,2025-09-13,gmartin@cardinal-lumber.com,EDI 855,5951.69
ACK-SO-26418,SO-26418,2025-05-16,mallen@fox-paper.com,Email PDF,3510.36
ACK-SO-26419,SO-26419,2025-05-30,jwhite@midwest-climate.com,Email PDF,10676.76
ACK-SO-26420,SO-26420,2025-08-12,jharris@prairie-materials.com,Email PDF,3507.39
